Esporte,Altura (m),Peso (kg)
V,1.9,76
V,1.98,70
V,2.04,101
V,1.88,77
V,2.14,109
V,2.05,84
V,1.96,89
V,2.09,101
V,1.95,79
V,1.95,83
V,1.92,91
V,1.99,99
V,2.09,93
V,1.9,76
V,1.94,76
V,2.06,93
V,1.9,82
V,2.03,90
V,1.99,80
V,2.12,97
V,1.98,87
V,1.85,78
F,1.86,80
F,1.88,80
F,1.93,88
F,1.73,65
F,1.84,79
F,1.73,72
F,1.77,79
F,1.83,79
F,1.89,84
F,1.88,78
F,1.87,76
F,1.87,78
F,1.8,69
F,1.81,72
F,1.76,67
F,1.8,75
F,1.74,70
F,1.8,67
F,1.74,62
F,1.8,85
F,1.63,60
F,1.85,84
F,1.9,76
