satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left
,0.53,2.0,157.0,3.0,0.0,0.0,sales,low,1
0.8,0.86,5.0,262.0,6.0,0.0,0.0,sales,medium,1
0.11,0.88,7.0,272.0,4.0,0.0,0.0,sales,medium,1
0.72,0.87,5.0,223.0,5.0,0.0,0.0,sales,low,1
0.37,0.52,2.0,159.0,3.0,0.0,0.0,sales,low,1
0.41,0.5,,153.0,3.0,0.0,0.0,sales,low,1
0.1,,,247.0,4.0,0.0,0.0,sales,low,1
0.92,0.85,5.0,259.0,5.0,0.0,0.0,sales,low,1
0.89,1.0,5.0,224.0,5.0,0.0,0.0,sales,low,1
0.42,0.53,2.0,142.0,3.0,0.0,0.0,sales,low,1
0.45,0.54,2.0,135.0,,0.0,0.0,sales,low,1
0.11,,6.0,305.0,4.0,0.0,0.0,sales,low,1
0.84,0.92,4.0,234.0,5.0,0.0,0.0,sales,low,1
0.41,0.55,2.0,148.0,,0.0,0.0,sales,low,1
,0.56,,137.0,3.0,0.0,0.0,sales,low,1
,0.54,2.0,143.0,3.0,0.0,0.0,sales,low,1
0.45,0.47,2.0,160.0,3.0,0.0,0.0,sales,low,1
0.78,0.99,,,,0.0,0.0,sales,low,1
0.45,0.51,2.0,160.0,3.0,1.0,1.0,sales,low,1
0.76,0.89,5.0,262.0,5.0,0.0,0.0,sales,low,1
0.11,0.83,6.0,282.0,4.0,0.0,0.0,sales,low,1
0.38,0.55,2.0,147.0,3.0,0.0,0.0,sales,low,1
0.09,0.95,6.0,304.0,4.0,0.0,0.0,sales,low,1
,0.57,2.0,139.0,3.0,0.0,0.0,sales,low,1
0.4,0.53,2.0,158.0,3.0,0.0,0.0,sales,,1
0.89,0.92,5.0,242.0,5.0,0.0,0.0,sales,low,1
0.82,0.87,4.0,239.0,5.0,0.0,0.0,sales,low,1
0.4,0.49,2.0,135.0,3.0,0.0,,sales,low,1
0.41,0.46,2.0,128.0,,0.0,0.0,accounting,low,1
0.38,0.5,2.0,132.0,3.0,0.0,0.0,accounting,low,1
0.09,0.62,6.0,294.0,4.0,0.0,0.0,accounting,,1
,0.57,2.0,134.0,3.0,0.0,0.0,hr,low,1
0.4,0.51,2.0,145.0,3.0,0.0,0.0,hr,low,1
0.45,0.55,2.0,140.0,3.0,0.0,0.0,hr,low,1
0.84,0.87,4.0,246.0,6.0,0.0,0.0,hr,low,1
0.1,0.94,6.0,255.0,4.0,0.0,,technical,low,1
0.38,0.46,2.0,137.0,3.0,0.0,0.0,technical,low,1
,0.5,2.0,126.0,3.0,0.0,0.0,technical,low,1
0.11,0.89,,306.0,4.0,0.0,0.0,technical,low,1
0.41,0.54,2.0,152.0,3.0,0.0,0.0,technical,low,1
0.87,0.88,5.0,269.0,5.0,0.0,0.0,technical,low,1
0.45,0.48,2.0,158.0,3.0,0.0,0.0,,low,1
